# Force coefficients
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	1.679912e-03	1.231247e-02	8.819111e-04	2.120867e-03	-1.238956e-03
4e-08         	1.669136e-01	1.309664e-01	2.643580e-01	2.990926e-01	-3.473457e-02
8e-08         	3.123453e-01	2.397664e-01	4.984092e-01	5.615499e-01	-6.314066e-02
1.2e-07       	3.822841e-01	3.091262e-01	6.213650e-01	6.929666e-01	-7.160159e-02
1.6e-07       	4.212442e-01	3.590983e-01	6.916957e-01	7.670920e-01	-7.539634e-02
2e-07         	4.356456e-01	3.892395e-01	7.198016e-01	7.955464e-01	-7.574486e-02
2.4e-07       	4.305506e-01	3.972715e-01	7.125615e-01	7.868313e-01	-7.426981e-02
2.8e-07       	4.118394e-01	3.865856e-01	6.800792e-01	7.518790e-01	-7.179981e-02
3.2e-07       	3.888300e-01	3.654862e-01	6.377768e-01	7.077184e-01	-6.994164e-02
3.6e-07       	3.692743e-01	3.432082e-01	6.007371e-01	6.696429e-01	-6.890573e-02
4e-07         	3.559764e-01	3.257866e-01	5.761569e-01	6.440549e-01	-6.789794e-02
4.4e-07       	3.474523e-01	3.145213e-01	5.622277e-01	6.285662e-01	-6.633852e-02
4.8e-07       	3.416362e-01	3.072457e-01	5.543770e-01	6.188248e-01	-6.444774e-02
5.2e-07       	3.382334e-01	3.028568e-01	5.510357e-01	6.137513e-01	-6.271555e-02
5.6e-07       	3.364624e-01	3.007603e-01	5.505612e-01	6.117430e-01	-6.118178e-02
6e-07         	3.354771e-01	3.000457e-01	5.512131e-01	6.110837e-01	-5.987058e-02
6.4e-07       	3.349296e-01	3.001915e-01	5.521909e-01	6.110251e-01	-5.883418e-02
6.8e-07       	3.347043e-01	3.007828e-01	5.532211e-01	6.113149e-01	-5.809380e-02
7.2e-07       	3.347659e-01	3.015181e-01	5.542259e-01	6.118789e-01	-5.765301e-02
7.6e-07       	3.349397e-01	3.021208e-01	5.549309e-01	6.124051e-01	-5.747423e-02
