# Force coefficients
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.002         	2.232737e-01	2.092015e-01	4.803318e-01	4.634396e-01	1.689220e-02
0.0020004     	2.232777e-01	2.092129e-01	4.803227e-01	4.634391e-01	1.688365e-02
0.0020008     	2.232799e-01	2.092747e-01	4.803053e-01	4.634326e-01	1.687273e-02
0.0020012     	2.232795e-01	2.093618e-01	4.802924e-01	4.634257e-01	1.686675e-02
0.0020016     	2.232760e-01	2.094363e-01	4.802777e-01	4.634149e-01	1.686287e-02
0.002002      	2.232702e-01	2.095011e-01	4.802553e-01	4.633978e-01	1.685748e-02
0.0020024     	2.232657e-01	2.095743e-01	4.802429e-01	4.633872e-01	1.685571e-02
0.0020028     	2.232639e-01	2.096647e-01	4.802478e-01	4.633878e-01	1.686003e-02
0.0020032     	2.232607e-01	2.097590e-01	4.802479e-01	4.633846e-01	1.686327e-02
0.0020036     	2.232535e-01	2.098436e-01	4.802269e-01	4.633670e-01	1.685997e-02
0.002004      	2.232461e-01	2.099265e-01	4.802069e-01	4.633496e-01	1.685737e-02
0.0020044     	2.232416e-01	2.100193e-01	4.802044e-01	4.633438e-01	1.686058e-02
0.0020048     	2.232379e-01	2.101194e-01	4.802109e-01	4.633433e-01	1.686754e-02
0.0020052     	2.232321e-01	2.102161e-01	4.802073e-01	4.633357e-01	1.687162e-02
0.0020056     	2.232251e-01	2.103052e-01	4.801917e-01	4.633209e-01	1.687080e-02
0.002006      	2.232198e-01	2.103959e-01	4.801831e-01	4.633114e-01	1.687170e-02
0.0020064     	2.232155e-01	2.104931e-01	4.801873e-01	4.633092e-01	1.687809e-02
0.0020068     	2.232096e-01	2.105906e-01	4.801909e-01	4.633050e-01	1.688587e-02
0.0020072     	2.232020e-01	2.106825e-01	4.801849e-01	4.632944e-01	1.689047e-02
0.0020076     	2.231950e-01	2.107713e-01	4.801773e-01	4.632836e-01	1.689366e-02
0.002008      	2.231891e-01	2.108638e-01	4.801785e-01	4.632783e-01	1.690011e-02
0.0020084     	2.231828e-01	2.109600e-01	4.801863e-01	4.632759e-01	1.691035e-02
0.0020088     	2.231750e-01	2.110536e-01	4.801899e-01	4.632699e-01	1.691995e-02
0.0020092     	2.231594e-01	2.111424e-01	4.801818e-01	4.632503e-01	1.693154e-02
0.0020096     	2.231707e-01	2.112281e-01	4.802007e-01	4.632711e-01	1.692961e-02
